OBJECTID,org_name,Name,addrln1,addrln2,city,state,url,zip,link,latitude,longitude
60795,www.lapl.org,Los Angeles Public Library - Cypress Park Branch,1150 Cypress Ave.,,Los Angeles,CA,www.lapl.org,90065,http://egis3.lacounty.gov/lms/?p=61432,34.094586,-118.22734
60797,www.lapl.org,Los Angeles Public Library - Sun Valley Branch,7935 Vineland Ave.,,Sun Valley,CA,www.lapl.org,91352,http://egis3.lacounty.gov/lms/?p=61433,34.21481,-118.370578
60799,www.lapl.org,Los Angeles Public Library - Panorama City Branch,14345 Roscoe Blvd.,,Panorama City,CA,www.lapl.org,91402,http://egis3.lacounty.gov/lms/?p=61434,34.221749,-118.446322
60801,www.lapl.org,Los Angeles Public Library - Woodland Hills Branch,22200 Ventura Blvd.,,Woodland Hills,CA,www.lapl.org,91364,http://egis3.lacounty.gov/lms/?p=61435,34.168414,-118.610619
60803,www.lapl.org,Los Angeles Public Library - Hyde Park - Miriam Matthews Branch,2205 Florence Ave.,,Los Angeles,CA,www.lapl.org,90043,http://egis3.lacounty.gov/lms/?p=61436,33.974726,-118.317803
60805,www.lapl.org,Los Angeles Public Library - Sherman Oaks Martin Pollard Branch,14245 Moorpark St.,,Sherman Oaks,CA,www.lapl.org,91423,http://egis3.lacounty.gov/lms/?p=61437,34.151137,-118.443689
60807,www.lapl.org,Los Angeles Public Library - John Muir Branch,1005 W. 64th St.,,Los Angeles,CA,www.lapl.org,90044,http://egis3.lacounty.gov/lms/?p=61438,33.981528,-118.292175
60809,www.lapl.org,Los Angeles Public Library - Vernon Branch,4504 S. Central Ave.,,Los Angeles,CA,www.lapl.org,90011,http://egis3.lacounty.gov/lms/?p=61439,34.002604,-118.256308
60811,www.lapl.org,Los Angeles Public Library - Junipero Serra Branch,4607 S. Main St.,,Los Angeles,CA,www.lapl.org,90037,http://egis3.lacounty.gov/lms/?p=61440,34.001674,-118.274192
60813,www.lapl.org,Los Angeles Public Library - John C. Fremont Branch,6121 Melrose Ave.,,Los Angeles,CA,www.lapl.org,90038,http://egis3.lacounty.gov/lms/?p=61441,34.083618,-118.333719
60815,www.lapl.org,Los Angeles Public Library - Cahuenga Branch,4591 Santa Monica Blvd.,,Los Angeles,CA,www.lapl.org,90029,http://egis3.lacounty.gov/lms/?p=61442,34.09101,-118.289025
60817,www.lapl.org,Los Angeles Public Library - Palisades Branch,861 Alma Real Dr.,,Pacific Palisades,CA,www.lapl.org,90272,http://egis3.lacounty.gov/lms/?p=61443,34.044369,-118.524987
60819,www.lapl.org,Los Angeles Public Library - Studio City Branch,12511 Moorpark St.,,Studio City,CA,www.lapl.org,91604,http://egis3.lacounty.gov/lms/?p=61444,34.150504,-118.405806
60821,www.lapl.org,Los Angeles Public Library - Robert Louis Stevenson Branch,803 Spence St.,,Los Angeles,CA,www.lapl.org,90023,http://egis3.lacounty.gov/lms/?p=61445,34.027534,-118.198107
60823,www.lapl.org,Los Angeles Public Library - West Valley Regional Branch,19036 Vanowen St.,,Reseda,CA,www.lapl.org,91335,http://egis3.lacounty.gov/lms/?p=61446,34.193689,-118.547853
60825,www.lapl.org,Los Angeles Public Library - Pio Pico Koreatown Branch,694 S. Oxford Ave.,,Los Angeles,CA,www.lapl.org,90005,http://egis3.lacounty.gov/lms/?p=61447,34.060005,-118.307631
60827,www.lapl.org,Los Angeles Public Library - Westwood Branch,1246 Glendon Ave.,,Westwood,CA,www.lapl.org,90024,http://egis3.lacounty.gov/lms/?p=61448,34.057864,-118.441874
60829,www.lapl.org,Los Angeles Public Library - Mid-Valley Regional Branch,16244 Nordhoff St.,,Sepulveda,CA,www.lapl.org,91343,http://egis3.lacounty.gov/lms/?p=61449,34.235474,-118.486228
60831,www.lapl.org,Los Angeles Public Library - Arroyo Seco Regional Branch,6145 N. Figueroa St.,,Los Angeles,CA,www.lapl.org,90042,http://egis3.lacounty.gov/lms/?p=61450,34.11387,-118.186319
60833,www.lapl.org,Los Angeles Public Library - Platt Branch,23600 Victory Blvd.,,Woodland Hills,CA,www.lapl.org,91367,http://egis3.lacounty.gov/lms/?p=61451,34.186302,-118.641209
60835,www.lapl.org,Los Angeles Public Library - Harbor City - Harbor Gateway Branch,24000 S. Western Ave.,,Harbor City,CA,www.lapl.org,90710,http://egis3.lacounty.gov/lms/?p=61452,33.806669,-118.307357
60837,www.lapl.org,Los Angeles Public Library - Edendale Branch,2011 W. Sunset Blvd.,,Los Angeles,CA,www.lapl.org,90026,http://egis3.lacounty.gov/lms/?p=61453,34.077985,-118.262265
60839,www.lapl.org,Los Angeles Public Library - Angeles Mesa Branch,2700 W. 52nd St.,,Los Angeles,CA,www.lapl.org,90043,http://egis3.lacounty.gov/lms/?p=61454,33.994886,-118.322559
60841,www.lapl.org,Los Angeles Public Library - Pico Union Branch,1030 S. Alvarado St.,,Los Angeles,CA,www.lapl.org,90006,http://egis3.lacounty.gov/lms/?p=61455,34.050809,-118.280198
60843,www.lapl.org,Los Angeles Public Library - Valley Plaza Branch,12311 Vanowen St.,,North Hollywood,CA,www.lapl.org,91605,http://egis3.lacounty.gov/lms/?p=61456,34.194093,-118.401113
60846,www.lapl.org,City Of Los Angeles Public Library,630 W. 5th St.,,Los Angeles,CA,www.lapl.org,90071,http://egis3.lacounty.gov/lms/?p=61457,34.050629,-118.254911
62213,LA City Department Recreation and Parks,Lou Costello Recreation Center,3141 E Olympic Blvd,,Los Angeles,CA,www.laparks.org/dos.htm,90023,http://egis3.lacounty.gov/lms/?p=70011,34.02087687,-118.21056115
62486,,City Of Signal Hill Community Services And Parks And Recreation Department - Signal Hill Library,1770 E Hill St,,Signal Hill,CA,www.cityofsignalhill.org,90755,http://egis3.lacounty.gov/lms/?p=70249,33.79707439,-118.1700746
62657,,Los Angeles Public Library - Van Nuys Branch,6250 Sylmar Ave,,Van Nuys,CA,www.lapl.org,91401,http://egis3.lacounty.gov/lms/?p=70330,34.18377384,-118.4463776
62662,,Los Angeles Public Library - Lake View Terrace Branch,12002 Osborne St,,Lake View Terrace,CA,www.lapl.org,91342,http://egis3.lacounty.gov/lms/?p=70331,34.27337691,-118.3938829
62803,,Claude Pepper Senior Center,1762 S La Cienega Blvd,,Los Angeles,CA,www.laparks.org/dos/senior/senior.htm,90035,http://egis3.lacounty.gov/lms/?p=70414,34.04549341,-118.3765215
62806,,Glassell Park Senior Citizen Center,3750 Verdugo Rd,,Los Angeles,CA,www.laparks.org/dos/senior/senior.htm,90065,http://egis3.lacounty.gov/lms/?p=70416,34.1175754,-118.2326166
62971,,LA County Library - Acton Agua Dulce Library,33792 Crown Valley Rd,,Acton,CA,http://www.colapublib.org/libs/acton/index.php,93510,http://egis3.lacounty.gov/lms/?p=70483,34.49514159,-118.1982007
62973,,LA County Library - Alondra Library,11949 Alondra Blvd,,Norwalk,CA,https://lacountylibrary.org/alondra-library/,90650,http://egis3.lacounty.gov/lms/?p=70485,33.88795585,-118.07845546
62976,,LA County Library - Angelo M. Iacoboni Library,4990 Clark Ave,,Lakewood,CA,https://lacountylibrary.org/angelo-m-iacoboni-library/,90712,http://egis3.lacounty.gov/lms/?p=70486,33.8487164,-118.1333357
62982,,LA County Library - Anthony Quinn Library,3965 E Cesar Chavez Ave,,Los Angeles,CA,https://lacountylibrary.org/anthony-quinn-library/,90063,http://egis3.lacounty.gov/lms/?p=70488,34.0407142,-118.1802073
62985,,LA County Library - Artesia Library,18722 Clarkdale Ave,,Artesia,CA,https://lacountylibrary.org/artesia-library/,90701,http://egis3.lacounty.gov/lms/?p=70489,33.86059603,-118.07908526
62989,,LA County Library - Avalon Library,215 Sumner Ave,,Avalon,CA,https://lacountylibrary.org/avalon-library/,90704,http://egis3.lacounty.gov/lms/?p=70490,33.34307411,-118.3273141
62993,,LA County Library - Baldwin Park Library,4181 Baldwin Park Blvd,,Baldwin Park,CA,https://lacountylibrary.org/baldwin-park-library/,91706,http://egis3.lacounty.gov/lms/?p=70491,34.08806178,-117.9654236
62995,,LA County Library - Bell Gardens Library,7110 Garfield Ave,,Bell Gardens,CA,https://lacountylibrary.org/bell-gardens-library/,90201,http://egis3.lacounty.gov/lms/?p=70492,33.9671381,-118.1505546
62997,,LA County Library - Bell Library,4411 Gage Ave,,Bell,CA,https://lacountylibrary.org/bell-library/,90201,http://egis3.lacounty.gov/lms/?p=70493,33.97826215,-118.1887635
63000,,LA County Library - Carson Library,151 E Carson St,,Carson,CA,https://lacountylibrary.org/carson-library/,90745,http://egis3.lacounty.gov/lms/?p=70494,33.83203917,-118.2763535
63004,,LA County Library - Castaic Library,27971 Sloan Canyon Rd,,Castaic,CA,https://lacountylibrary.org/castaic-library/,91384,http://egis3.lacounty.gov/lms/?p=70495,34.49458758,-118.6263331
63006,,LA County Library - Charter Oak Library,20540 E Arrow Hwy,Suite K,Covina,CA,https://lacountylibrary.org/charter-oak-library/,91724,http://egis3.lacounty.gov/lms/?p=70496,34.10635072,-117.8536066
63008,,LA County Library - Chet Holifield Library,1060 Greenwood Ave,,Montebello,CA,https://lacountylibrary.org/chet-holifield-library/,90640,http://egis3.lacounty.gov/lms/?p=70497,33.99359741,-118.1201477
63012,,LA County Library - City Terrace Library,4025 City Terrace Dr,,Los Angeles,CA,https://lacountylibrary.org/city-terrace-library/,90063,http://egis3.lacounty.gov/lms/?p=70498,34.05571089,-118.1782902
