OBJECTID,FID2,NUMBER,LATITUDE,LONGITUDE,SITEATS,CITY_SITE,FACING,AREA,ADVERTISER
882,4960,LA-4961,34.03439,-118.21568,NB  Soto  FS  Whittier -NE,L.A. East,South,CD-14,MOM L.A.
883,4966,LA-4967,34.06322,-118.18218,EB  Valley  NS  Del Paso -SW,L.A. East,East,CD-14,MOM L.A.
884,4129,LA-4130,34.25736,-118.55407,WB  Devonshire  FS  Tampa -NW,L.A. Valley West,North,CD-12,Ralph L. Norton
885,4142,LA-4143,34.25738,-118.6052,WB  Devonshire  FS  Vassar -NW,L.A. Valley West,North,CD-12,MOM L.A.
886,4150,LA-4151,34.25742,-118.57132,WB  Devonshire  FS  Winnetka -NW,L.A. Valley West,North,CD-12,The Shooting Range
887,4164,LA-4165,34.25009,-118.58891,WB  Lassen  FS  De Soto -NW,L.A. Valley West,North,CD-12,MOM L.A.
888,4198,LA-4199,34.25768,-118.57994,SB  Mason  NS  Devonshire -NW,L.A. Valley West,North,CD-12,Daniella Parra
889,4200,LA-4201,34.25697,-118.57971,NB  Mason  NS  Devonshire -SE,L.A. Valley West,West,CD-12,ReMAX:OLSON
890,4212,LA-4213,34.23589,-118.50722,WB  Nordhoff Wy  FS  Amestoy -NW,L.A. Valley West,North,CD-12,ReMAX:OLSON
891,4217,LA-4218,34.23556,-118.59728,WB  Nordhoff Wy  NS  Canoga -NE,L.A. Valley West,South,CD-12,MOM L.A.
892,4222,LA-4223,34.23538,-118.58812,EB  Nordhoff Wy  FS  De Soto -SE,L.A. Valley West,West,CD-12,MOM L.A.
893,4226,LA-4227,34.23538,-118.5936,EB  Nordhoff Wy  FS  Eton -SE,L.A. Valley West,West,CD-12,MOM L.A.
894,4227,LA-4228,34.23538,-118.5936,EB  Nordhoff Wy  FS  Eton -SE,L.A. Valley West,West,CD-12,MOM L.A.
895,4248,LA-4249,34.23537,-118.53562,EB  Nordhoff Wy  FS  Reseda -SE,L.A. Valley West,West,CD-12,Blooming Smiles
896,4266,LA-4267,34.23557,-118.48472,EB  Nordhoff Wy  FS  Woodley -SE,L.A. Valley West,West,CD-12,Cash Plus
897,4279,LA-4280,34.24272,-118.58808,EB  Plummer  FS  De Soto -SE,L.A. Valley West,West,CD-12,MOM L.A.
898,4301,LA-4302,34.24267,-118.55326,EB  Plummer  FS  Tampa -SE,L.A. Valley West,West,CD-12,MOM L.A.
899,4313,LA-4314,34.22446,-118.53597,NB  Reseda Blvd NS  Chase -SE,L.A. Valley West,West,CD-12,MOM L.A.
900,4316,LA-4317,34.25353,-118.53622,SB  Reseda Blvd NS  Mayall -NW,L.A. Valley West,North,CD-12,Tony Kim
901,4338,LA-4339,34.27932,-118.49373,WB  Rinaldi  FS  Hayvenhurst -NW,L.A. South,North,CD-12,MOM L.A.
902,4344,LA-4345,34.27914,-118.49751,EB  Rinaldi  FS  Ruffner -SE,L.A. South,West,CD-12,Scott Green
903,4358,LA-4359,34.21969,-118.61021,WB  Roscoe  NS  Farralone -NE,L.A. Valley West,South,CD-12, 
904,4371,LA-4372,34.22052,-118.55816,WB  Roscoe  FS  Shirley -NW,L.A. Valley West,North,CD-12,MOM L.A.
905,4386,LA-4387,34.2085,-118.51444,WB  Saticoy  FS  Encino -NW,L.A. Valley West,North,CD-12,MOM L.A.
906,4404,LA-4405,34.25694,-118.55347,NB  Tampa  NS  Devonshire -SE,L.A. Valley West,West,CD-12,Daniella Parra
907,4444,LA-4445,34.19396,-118.50961,WB  Vanowen  NS  Louise -NE,L.A. Valley West,South,CD-12,MOM L.A.
908,4471,LA-4472,34.18637,-118.51839,NB  White Oak  NS  Victory -SE,L.A. Valley West,West,CD-12,Peter Green
909,4474,LA-4475,34.18637,-118.5186,SB  White Oak  FS  Victory -SW,L.A. Valley West,East,CD-12,MOM L.A.
910,4482,LA-4483,34.2644,-118.48493,SB  Woodley  FS  Chatsworth -SW,L.A. South,East,CD-12,MOM L.A.
911,4494,LA-4495,34.22867,-118.48526,SB  Woodley  NS  Parthenia -NW,L.A. Valley West,North,CD-12,MOM L.A.
912,4495,LA-4496,34.24266,-118.48489,NB  Woodley  NS  Plummer -SE,L.A. Valley West,West,CD-12,MOM L.A.
913,4530,LA-4531,34.06916,-118.29115,WB  3rd St NS  Vermont -NE,L.A. South,South,CD-12,MOM L.A.
914,4552,LA-4553,34.07275,-118.28417,WB  Beverly Dr  NS  Hoover -NE,L.A. South,South,CD-12,MOM L.A.
915,4553,LA-4554,34.07639,-118.3028,WB  Beverly Dr  NS  Kingsley -NE,L.A. South,South,CD-12,MOM L.A.
916,4567,LA-4568,34.12232,-118.22467,SB Eagle Rock FS El Paso-SW,L.A. East,East,CD-12,MOM L.A.
917,4573,LA-4574,34.08152,-118.25441,NB  Echo Park  FS  Morton -NE,L.A. East,South,CD-12,Community Choice
918,4588,LA-4589,34.11606,-118.26324,SB  Glendale Blvd FS  Glen Feliz -NE,L.A. East,South,CD-12,MOM L.A.
919,4619,LA-4620,34.12373,-118.26841,WB  Los Feliz  FS  Glen Feliz -NW,L.A. East,North,CD-13,"Red Lilly Plumbing, Inc."
920,4622,LA-4623,34.08368,-118.29762,WB Melrose NS Alexandria-NE,L.A. South,South,CD-13,MOM L.A.
921,4647,LA-4648,34.09545,-118.24438,SB  Riverside  FS  Stadium Way -SW,L.A. East,East,CD-13,MOM L.A.
922,4648,LA-4649,34.10491,-118.23874,NB  San Fernando  FS  Eagle Rock -NE,L.A. East,South,CD-13,MOM L.A.
923,4649,LA-4650,34.11524,-118.24606,SB  San Fernando  FS  Fletcher -SW,L.A. East,East,CD-13,MOM L.A.
924,4662,LA-4663,34.09101,-118.29202,WB Santa Monica FS Vermont-NW,L.A. South,North,CD-13,MOM L.A.
925,4665,LA-4666,34.09097,-118.28652,WB Santa Monica NS Virgil-NE,L.A. South,South,CD-13,MOM L.A.
926,4711,LA-4712,34.09824,-118.30032,WB  Sunset  NS  Normandie -NE,L.A. Valley East,South,CD-13,MOM L.A.
927,4714,LA-4715,34.09813,-118.34127,WB  Sunset  NS  Orange -NE,L.A. Central,South,CD-13,MOM L.A.
