OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
19648,R1-1,R1,RESIDENTIAL,0.0081209418070773,2.51866711625356e-06
19649,R1-1,R1,RESIDENTIAL,0.003657205785804,5.2929318039085e-07
19650,R1-1,R1,RESIDENTIAL,0.0046696247454823,7.06261229116854e-07
19651,R1-1,R1,RESIDENTIAL,0.0040571161085446,5.95365455874012e-07
19652,R1-1,R1,RESIDENTIAL,0.0049218596986114,9.63773828356704e-07
19653,R1-1,R1,RESIDENTIAL,0.0037455222857118,6.76024041517908e-07
19654,R1-1,R1,RESIDENTIAL,0.0038824086070264,8.11681240488379e-07
19655,R1-1,R1,RESIDENTIAL,0.0036565321952853,5.29119045530823e-07
19656,R1-1,R1,RESIDENTIAL,0.0047689082241415,8.26597702572917e-07
19657,PF-1,PF,PUBLIC FACILITY,0.0090854847318402,8.63257614638122e-07
19658,R1R3,R1R3,RESIDENTIAL,0.005069879754686,6.72914309261171e-07
19659,R1-1,R1,RESIDENTIAL,0.0040785664895272,9.7581232331822e-07
