OBJECTID,Area_Acres,Park_ID,Address,Name,Park_Class,ACRES
159,3.21706107,342,12061 Moorpark St,Moorpark Park,N,3.21706107
160,3.40604552,379,830 W 70th Street,Mount Carmel Recreation Center,N,3.40604552
161,29.86877092,727,2230 W 6th Street,MacArthur Park,C,29.86877092
162,9.4989901,185,4800 S. La Brea Ave.,Norman O. Houston Park,N,9.4989901
163,7.97765843,334,22400 Halldale Avenue,Normandale Recreation Center,N,7.97765843
164,3.27153751,730,1550 S Normandie Avenue,Normandie Recreation Center,N,3.27153751
165,5.36237217,267,3900 Chevy Chase Dr,North Atwater Park,N,5.36237217
166,3.89463018,561,8756 Parthenia Pl,North Hills Community Park,N,3.89463018
167,55.59982202,295,11430 Chandler Blvd,North Hollywood Park,R,55.59982202
168,24.01765254,766,10058 Reseda Blvd,Northridge Recreation Center,C,24.01765254
169,695.71086812,768,17300 Sesnon Blvd,O'Melveny Park,R,695.71086812
170,3.63266539,127,767 California St,Oakwood Recreation Center,N,3.63266539
171,0.22007678,117,1500 S Bundy Dr,Bundy Triangle,N,0.22007678
172,24.09578635,514,23600 Roscoe Blvd,Orcutt Ranch Horticultural Center,C,24.09578635
173,8.23074694,352,11101 Oro Vista Ave,Oro Vista Park,N,8.23074694
174,6.80193634,223,10943 Herrick Ave,David M. Gonzales Recreation Center,N,6.80193634
175,2.07463633,560,11300 Glenoaks Blvd,North East Valley Multipurpose Center,N,2.07463633
176,113.64648036,770,12100 Tampa Ave,Palisades Park (Porter Ranch),R,113.64648036
177,17.54244037,115,851 Alma Real Dr.,Palisades Recreation Center,C,17.54244037
178,4.80854645,658,2950 Overland Ave,Palms Recreation Center,N,4.80854645
179,32.17782652,294,7600 Beverly Blvd,Pan Pacific Park,C,32.17782652
180,6.00123156,562,8600 Hazeltine Ave,Panorama City Recreation Center,N,6.00123156
181,1.4204227,771,21444 Parthenia St,Parthenia Park,N,1.4204227
182,25.76734734,567,10731 Laurel Canyon Blvd,Ritchie Valens Park,C,25.76734734
183,4.27987849,874,127 South Pecan Street,Pecan Recreation Center,N,4.27987849
184,52.70278827,124,1233 Rose Ave.,Penmar Golf Course,R,52.70278827
185,12.00596469,125,1341 Lake St,Penmar Recreation Center,C,12.00596469
186,4.43695686,218,525 S Olive St,Pershing Square,N,4.43695686
187,6.29257328,659,7341 Willoughby ave,Poinsettia Recreation Center,N,6.29257328
188,40.96190192,772,11000 Tampa Ave,Porter Ranch Park,C,40.96190192
189,17.78056298,773,18799 Sesnon Blvd,Porter Ridge Park,C,17.78056298
190,2.71237512,875,612 N Echandia Street,Prospect Park,N,2.71237512
191,5.23177322,257,1240 West Blvd,Queen Anne Recreation Center,N,5.23177322
