OBJECTID,Area_Acres,Park_ID,CD_Real,Address,Region,Name,Park_Class,CD_NEW,TOOLTIP,ACRES
120,3.16235324,339,15,9900 Grape St.,P,Jordan Downs Recreation Center,N,15,Name: Jordan Downs Recreation Center\nLocation: 9900 Grape St.,3.16235324
121,1.63824349,234,13,3135 Drew St,M,Juntos Park,N,13,Name: Juntos Park\nLocation: 3135 Drew St,1.63824349
122,3.46419492,558,07,11435 Kagel Canyon St,V,Kagel Canyon Park,N,7,Name: Kagel Canyon Park\nLocation: 11435 Kagel Canyon St,3.46419492
123,0.09184962,348,02,6565 Greenbush Avenue,V,Kittridge Mini-Park,N,2,Name: Kittridge Mini-Park\nLocation: 6565 Greenbush Avenue,0.09184962
124,69.10878545,204,03,25000 Kittridge St,V,Knapp Ranch Park,R,12,Name: Knapp Ranch Park\nLocation: 25000 Kittridge St,69.10878545
125,2.50723435,297,04,4625 W Olympic Blvd,M,Los Angeles High Memorial Park,N,4,Name: Los Angeles High Memorial Park\nLocation: 4625 W Olympic Blvd,2.50723435
126,4.63701728,721,01,421 N Avenue 19,G,L.A. Youth Athletic Club,N,1,Name: L.A. Youth Athletic Club\nLocation: 421 N Avenue 19,4.63701728
127,2.41636491,268,04,3160 Canyon Dr,G,Lake Hollywood Park,N,4,Name: Lake Hollywood Park\nLocation: 3160 Canyon Dr,2.41636491
128,1.5181554,235,13,227 N Lake St,M,Lake Street Park,N,13,Name: Lake Street Park\nLocation: 227 N Lake St,1.5181554
129,9.81225099,182,02,11075 Foothill Blvd,V,Lake View Terrace Recreation Center,N,7,Name: Lake View Terrace Recreation Center\nLocation: 11075 Foothill Blvd,9.81225099
130,19.19838054,511,03,21816 Lanark St,V,Lanark Recreation Center,C,3,Name: Lanark Recreation Center\nLocation: 21816 Lanark St,19.19838054
131,0.08823167,872,14,E. 1st Street & Chicago Street,M,Lani Vest-Pocket Park,N,14,Name: Lani Vest-Pocket Park\nLocation: E. 1st Street & Chicago Street,0.08823167
132,1.14470417,296,04,1820 N Las Palmas Ave,M,Las Palmas Senior Citizen Center,N,13,Name: Las Palmas Senior Citizen Center\nLocation: 1820 N Las Palmas Ave,1.14470417
133,1.79521991,237,13,1901 Waterloo St,M,Tommy Lasorda's Field of Dreams,N,13,Name: Tommy Lasorda's Field of Dreams\nLocation: 1901 Waterloo St,1.79521991
134,0.19285073,216,09,5308 Latham St,P,Latham Park,N,9,Name: Latham Park\nLocation: 5308 Latham St,0.19285073
135,23.4447436,993,05,8260 Mulholland Dr,V,Laurel Canyon Park,C,4,Name: Laurel Canyon Park\nLocation: 8260 Mulholland Dr,23.4447436
136,1.01507326,376,08,4395 Leimert Blvd,W,Leimert Plaza,N,10,Name: Leimert Plaza\nLocation: 4395 Leimert Blvd,1.01507326
137,15.76194244,338,15,863 S. Herbert Avenue,P,Leland Park,C,15,Name: Leland Park\nLocation: 863 S. Herbert Avenue,15.76194244
138,3.87145743,239,13,4959 Lemon Grove Ave,M,Lemon Grove Recreation Center,N,13,Name: Lemon Grove Recreation Center\nLocation: 4959 Lemon Grove Ave,3.87145743
